id,brand,name,category,gender,price_pkr,colors,sizes,image_url,product_url
"engine-9392749871355","Engine","Men Polo Tee","T-Shirts","Men","1850","Dark Navy","S | M | L | XL | XXL","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/11_7d49e8c1-9567-4319-ba85-5e70e44eaaec.jpg?v=1788497789","https://engine.com.pk/products/ft6353-dnv"
"engine-9392750559483","Engine","Men Straight Trouser","Trousers","Men","2750","Stone","S | M | L | XL | XXL","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/o1_fc500271-0b6f-4fd9-b4e9-210815caae3f.jpg?v=1788427581","https://engine.com.pk/products/fu6048-stn"
"engine-9382948438267","Engine","Men T Shirt","T-Shirts","Men","1250","White","S | M | L | XL | XXL","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/j1_17a16ee1-2dc9-4eb1-beb5-dea74950b58a.jpg?v=1788426874","https://engine.com.pk/products/ft6315-wht"
"engine-9392748560635","Engine","Women Flared Trouser","Trousers","Women","2500","Dune","S | M | L | XL","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/006_840e87eb-95ef-4f63-a81d-36b097f4963b.jpg?v=1788422097","https://engine.com.pk/products/flu174-dne"
"engine-9392747741435","Engine","Men Straight Fit Denim","Jeans","Men","3000","Grey","S-30 | S-32 | S-34 | S-36 | S-38","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/a1_32efa38f-a11a-463f-87b5-dc8dadab3a22.jpg?v=1788421838","https://engine.com.pk/products/fd6128-gry"
"engine-9392747577595","Engine","Men Denim","Jeans","Men","3000","Grey","S-30 | S-32 | S-34 | S-36 | S-38","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/n1_169d5c7f-fd18-4046-8db4-f484451bd605.jpg?v=1788421753","https://engine.com.pk/products/fd6118-gry"
"engine-9406717755643","Engine","Men T Shirt","T-Shirts","Men","1750","Charcoal","S | M | L | XL | XXL","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/e1_a761c9a1-70f1-4adf-ab64-0f6dfd8ecde7.jpg?v=1788345580","https://engine.com.pk/products/ft6361-chr"
"engine-9406708285691","Engine","Men Slim Fit Denim","Jeans","Men","2850","Dark Blue","S-30 | S-32 | S-34 | S-36 | S-38","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/008_63693868-d003-4851-a621-f12c5dbca8f4.jpg?v=1788345357","https://engine.com.pk/products/fd6131-dbu"
"engine-9373516103931","Engine","Men Loose Fit Casual Shirt","Shirts","Men","2750","Black","S | M | L | XL | XXL","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/c1_b7cd968c-b5d9-4d75-8d8b-15e60d031606.jpg?v=1787934086","https://engine.com.pk/products/fc6022-blk"
"engine-9382968557819","Engine","Men Regular Fit Casual Shirt","Shirts","Men","4999","Burnt Pink","S | M | L | XL | XXL","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/MC6067-BRP_1.jpg?v=1787919489","https://engine.com.pk/products/mc6067-brp"
"engine-9382969147643","Engine","Men Loose Fit Casual Shirt","Shirts","Men","4999","Rust","S | M | L | XL | XXL","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/MC6070-RST_1.jpg?v=1787919352","https://engine.com.pk/products/mc6070-rst"
"engine-9392748527867","Engine","Women Flared Trouser","Trousers","Women","2500","Rust","S | M | L | XL","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/l1_f81e24fc-7cd1-4223-92b6-5c03dc1a9e72.jpg?v=1788422031","https://engine.com.pk/products/flu173-rst"
"engine-9406708187387","Engine","Men Loose Fit Denim","Jeans","Men","3000","Black","S-30 | S-32 | S-34 | S-36 | S-38","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/6_d937522d-5212-47ec-bcd7-2c832f5d6afc.jpg?v=1788345258","https://engine.com.pk/products/fd6130-blk"
"engine-9406707826939","Engine","Men Loose Fit Denim","Jeans","Men","3000","Blue","S-30 | S-32 | S-34 | S-36 | S-38","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/08_bb66e4bd-e0ac-4911-9cec-cc55a07685ce.jpg?v=1788345208","https://engine.com.pk/products/fd6123-blu"
"cougar-10434593587516","Cougar","Textured Shirt","Shirts","Women","2149","Brown","XS | S | M | L","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/2N0A9924copy.webp?v=1787660127","https://www.cougar.com.pk/products/textured-shirt-st2618"
"cougar-10451113214268","Cougar","Paneled Denim Shirt","Shirts","Women","2149","Black","XS | S | M | L","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/2N0A9803copy.webp?v=1787661012","https://www.cougar.com.pk/products/paneled-denim-shirt-st2622"
"cougar-10440058470716","Cougar","Shirt With Puff Sleeves","Shirts","Women","2499","White","XS | S | M | L","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/2N0A9757copy.webp?v=1787660494","https://www.cougar.com.pk/products/shirt-with-puff-sleeves-fte639"
"cougar-10434591162684","Cougar","Waffle Knit Zipper Polo","T-Shirts","Men","2249","Chocolate","S | M | L | XL","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/2N0A4684copy.webp?v=1784537208","https://www.cougar.com.pk/products/waffle-knit-zipper-polo-pe2675"
"cougar-10422367486268","Cougar","Textured Contrast Polo","T-Shirts","Men","2149","Navy","S | M | L | XL","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/2N0A3818copy.webp?v=1784119412","https://www.cougar.com.pk/products/textured-contrast-polo-pe2658"
"cougar-10387058000188","Cougar","Pique Embroidered Polo","T-Shirts","Men","1849","Maroon","S | M | L | XL","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/1_6ad9876b-123c-4d9a-976d-7e3c92a53138.webp?v=1779189419","https://www.cougar.com.pk/products/pique-embroidered-polo-pe2642"
"cougar-10228375322940","Cougar","Double-Sided Mock Neck Jacket","Jackets","Men","7499","Brown","M | L | XL | XXL","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/4_4e9e4f38-fc98-42d6-ab1b-7ff4a8259b68.webp?v=1765954457","https://www.cougar.com.pk/products/double-sided-mock-neck-jacket-jm2566"
"cougar-10266996179260","Cougar","Textured Shacket","Jackets","Women","3749","Black","XS | S | M | L","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/3_025f3023-cbf8-4759-8343-7f39510b7cc0.webp?v=1767618525","https://www.cougar.com.pk/products/textured-shacket-lj2540"
"cougar-10259066388796","Cougar","Momentum Jacket","Jackets","Men","4499","Beige","S | M | L | XL","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/1_9bc29510-d983-4b01-bfbe-bdf51eac0204.webp?v=1767624439","https://www.cougar.com.pk/products/momentum-jacket-mjk506"
"cougar-10460452782396","Cougar","Sleeveless Denim Top","Jeans","Women","1499","Blue","XS | S | M | L","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/IMG_0120.webp?v=1787984868","https://www.cougar.com.pk/products/sleeveless-denim-top-fte651"
"cougar-10447526920508","Cougar","Pleated Pants With Asymmetrical Waist","Trousers","Women","2999","Brown","XS | S | M | L","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/2N0A9543copy.webp?v=1787822891","https://www.cougar.com.pk/products/pleated-pants-with-asymmetrical-waist-lt2678"
"cougar-10451113312572","Cougar","Tapered Pleated Pants","Trousers","Women","2999","Brown","XS | S | M | L","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/2N0A0444copy_a99de35d-1b8e-4067-8134-bf84d08ff811.webp?v=1787821447","https://www.cougar.com.pk/products/tapered-pleated-pants-lt2679"
"cougar-10447526068540","Cougar","Slim Fit Chino Pants","Trousers","Men","3249","Black","30 | 32 | 34 | 36 | 38","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/2N0A0512copy_2bfa1ca2-5294-4105-9528-10fbf9a42073.webp?v=1787654189","https://www.cougar.com.pk/products/slim-fit-chino-pants-ce2617"
"cougar-10447526101308","Cougar","Denim Shorts","Jeans","Men","2499","Blue","30 | 32 | 34 | 36","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/2N0A1679copy_e88697c0-65a0-494e-a3d3-700c6ba531ae.webp?v=1787578304","https://www.cougar.com.pk/products/denim-shorts-ms2671"
"cougar-10447527215420","Cougar","Sleeveless Denim Top","Jeans","Women","1999","Blue","XS | S | M | L","https://cdn.shopify.com/s/files/1/0268/9715/4090/files/2N0A9769copy.webp?v=1787660430","https://www.cougar.com.pk/products/sleeveless-denim-top-fte645"
"charcoal-9278309728482","Charcoal","LINEN WIDE SPREAD COLLAR LIMITED EDITION SHIRT TANGERINE","Shirts","Men","3847","TANGERINE","Small | Medium | Large | XL","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC04717.webp?v=1784806295","https://charcoal.com.pk/products/linen-wide-spread-collar-limited-edition-shirt-tangerine"
"charcoal-9262580236514","Charcoal","CASUAL COAT KHAKI CHECK","Jackets","Men","17497","khaki","44 | 46 | 48 | 50 | 52 | 54","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC08036_1ab01eba-d753-4e9a-b820-9f4a742e57cf.webp?v=1783939877","https://charcoal.com.pk/products/casual-coat-khaki-check"
"charcoal-9262580924642","Charcoal","CASUAL COAT GREY CHECK","Jackets","Men","17497","Grey","44 | 46 | 48 | 50 | 52 | 54","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC08093.webp?v=1783940103","https://charcoal.com.pk/products/casual-coat-grey-check-3"
"charcoal-9319516438754","Charcoal","SMART FIT CLASSIC PREMIUM STRIPED POLO SHIRT WHITE","T-Shirts","Men","3248","White","Small | Medium | Large | XL | XXL","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC03074_dbfc5e0f-2698-4112-971e-5022616f1f3b.webp?v=1787985769","https://charcoal.com.pk/products/smart-fit-classic-premium-striped-polo-shirt-white-1"
"charcoal-9319520567522","Charcoal","SMART FIT CLASSIC PREMIUM STRIPED POLO SHIRT BLACK","T-Shirts","Men","3248","Black","Small | Medium | Large | XL | XXL","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC01741_2795655c-c863-4fca-8537-29b01bc7b71d.webp?v=1787987238","https://charcoal.com.pk/products/smart-fit-classic-premium-striped-polo-shirt-black-1"
"charcoal-9319518175458","Charcoal","SMART FIT CLASSIC PREMIUM STRIPED POLO SHIRT BLUE","T-Shirts","Men","3248","Blue","Small | Medium | Large | XL | XXL","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC01678.webp?v=1787986739","https://charcoal.com.pk/products/smart-fit-classic-premium-striped-polo-shirt-blue"
"charcoal-9314530296034","Charcoal","RELAX FIT PRINTED CASUAL SHIRT GREY","Shirts","Men","4695","Grey","Small | Medium | Large | XL | XXL","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC06558.webp?v=1787642501","https://charcoal.com.pk/products/relax-fit-printed-casual-shirt-grey"
"charcoal-9314527379682","Charcoal","RELAX FIT PRINTED CASUAL SHIRT BLUE","Shirts","Men","4695","Blue","Small | Medium | Large | XL | XXL","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC06546TOP.webp?v=1787641966","https://charcoal.com.pk/products/relax-fit-printed-casual-shirt-blue"
"charcoal-9317068865762","Charcoal","NOTCH LAPEL SINGLE-BREASTED SUMMER COAT GREY","Jackets","Men","11197","Grey","44 | 46 | 48 | 50 | 52 | 54","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC096711.webp?v=1787834020","https://charcoal.com.pk/products/notch-lapel-single-breasted-summer-coat-grey"
"charcoal-9314032058594","Charcoal","CASUAL TROUSER SMART FIT BROWN","Trousers","Men","3498","Brown","30 | 32 | 34 | 36 | 38","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC048900.webp?v=1787567917","https://charcoal.com.pk/products/casual-trouser-smart-fit-brown"
"charcoal-9314026914018","Charcoal","CASUAL TROUSER BLACK","Trousers","Men","3248","Black","30 | 32 | 34 | 36 | 38","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC05925_58c8adf9-2be2-4c91-a6e6-a59735a6227d.webp?v=1787567495","https://charcoal.com.pk/products/casual-trouser-black-5"
"charcoal-9313995194594","Charcoal","CASUAL TROUSER BEIGE","Trousers","Men","3248","Beige","30 | 32 | 34 | 36 | 38","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC05925_25777117-63c3-4531-a636-6da60a26c5db.webp?v=1787566882","https://charcoal.com.pk/products/casual-trouser-beige-1"
"charcoal-9201032888546","Charcoal","STRAIGHT FIT JEAN GREY","Jeans","Men","3847","Charcoal Grey","30 | 32 | 34 | 36 | 38","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC02984_f4d14dc5-89ed-4213-90bc-2e65641f6e23.webp?v=1779259673","https://charcoal.com.pk/products/straight-fit-jean-charcoal-gery"
"charcoal-9201028333794","Charcoal","STRAIGHT FIT JEAN WHITE","Jeans","Men","3847","White","30 | 32 | 34 | 36 | 38","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC03738_1868d653-f777-493b-9dae-b0c212a3f0fa.webp?v=1779257445","https://charcoal.com.pk/products/straight-fit-jean-white"
"charcoal-9191175225570","Charcoal","STRAIGHT FIT JEAN BLACK","Jeans","Men","3847","Black","30 | 32 | 34 | 36 | 38","https://cdn.shopify.com/s/files/1/0419/6171/7922/files/DSC05417.webp?v=1778068586","https://charcoal.com.pk/products/straight-fit-jean-black-2"
